Reading training examples... (65 examples) done
Training set properties: 2400 features, 8 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=15.6290, QPEps=0.0000)
Iter 3: .........*(NumConst=3, SV=3, CEps=93.3651, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=4, CEps=34.6774, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=12.7768, QPEps=0.0000)
Iter 6: .........*(NumConst=6, SV=6, CEps=50.2112, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=7, CEps=21.1506, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=17.4341, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=8.2917, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=6.9173, QPEps=0.0000)
Iter 11: .........*(NumConst=11, SV=10, CEps=23.4354, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=11.6784, QPEps=0.7847)
Iter 13: *(NumConst=13, SV=11, CEps=9.3046, QPEps=1.6965)
Iter 14: *(NumConst=14, SV=12, CEps=8.7840, QPEps=3.4011)
Iter 15: *(NumConst=15, SV=13, CEps=4.0793, QPEps=1.5787)
Iter 16: *(NumConst=16, SV=13, CEps=3.5768, QPEps=1.5079)
Iter 17: *(NumConst=17, SV=14, CEps=2.9338, QPEps=1.0272)
Iter 18: .........*(NumConst=18, SV=15, CEps=9.5059, QPEps=1.7310)
Iter 19: *(NumConst=19, SV=16, CEps=5.2665, QPEps=1.6919)
Iter 20: *(NumConst=20, SV=17, CEps=4.3645, QPEps=1.9200)
Iter 21: *(NumConst=21, SV=18, CEps=3.5675, QPEps=1.3234)
Iter 22: *(NumConst=22, SV=18, CEps=2.5447, QPEps=1.1457)
Iter 23: *(NumConst=23, SV=19, CEps=2.2538, QPEps=0.5685)
Iter 24: *(NumConst=24, SV=20, CEps=2.0716, QPEps=0.7988)
Iter 25: *(NumConst=25, SV=21, CEps=1.7075, QPEps=0.4932)
Iter 26: *(NumConst=26, SV=22, CEps=1.6719, QPEps=0.5469)
Iter 27: *(NumConst=27, SV=23, CEps=1.6369, QPEps=0.7657)
Iter 28: *(NumConst=28, SV=24, CEps=1.3407, QPEps=0.5532)
Iter 29: *(NumConst=29, SV=25, CEps=1.7187, QPEps=0.5592)
Iter 30: *(NumConst=30, SV=26, CEps=1.0844, QPEps=0.4797)
Iter 31: *(NumConst=31, SV=27, CEps=1.5205, QPEps=0.2764)
Iter 32: *(NumConst=32, SV=28, CEps=1.2969, QPEps=0.4119)
Iter 33: .........*(NumConst=33, SV=29, CEps=4.8900, QPEps=1.7581)
Iter 34: *(NumConst=34, SV=30, CEps=3.3764, QPEps=1.2824)
Iter 35: *(NumConst=35, SV=31, CEps=2.4317, QPEps=1.1536)
Iter 36: *(NumConst=36, SV=32, CEps=2.1688, QPEps=0.7059)
Iter 37: *(NumConst=37, SV=33, CEps=1.5089, QPEps=0.6317)
Iter 38: *(NumConst=38, SV=34, CEps=1.5832, QPEps=0.3495)
Iter 39: *(NumConst=39, SV=35, CEps=0.9471, QPEps=0.4485)
Iter 40: *(NumConst=40, SV=36, CEps=1.1895, QPEps=0.3442)
Iter 41: *(NumConst=41, SV=37, CEps=0.8465, QPEps=0.3900)
Iter 42: *(NumConst=42, SV=38, CEps=0.7515, QPEps=0.3324)
Iter 43: *(NumConst=43, SV=39, CEps=0.7565, QPEps=0.3662)
Iter 44: *(NumConst=44, SV=40, CEps=0.9054, QPEps=0.2989)
Iter 45: *(NumConst=45, SV=41, CEps=0.6865, QPEps=0.3271)
Iter 46: *(NumConst=46, SV=42, CEps=0.6230, QPEps=0.2852)
Iter 47: *(NumConst=47, SV=42, CEps=0.6067, QPEps=0.2339)
Iter 48: *(NumConst=48, SV=43, CEps=0.7828, QPEps=0.2453)
Iter 49: *(NumConst=49, SV=44, CEps=0.5443, QPEps=0.2076)
Iter 50: .........*(NumConst=50, SV=45, CEps=3.1533, QPEps=1.0673)
Iter 51: *(NumConst=51, SV=46, CEps=2.2365, QPEps=1.0533)
Iter 52: *(NumConst=52, SV=47, CEps=1.5949, QPEps=0.7232)
Iter 53: *(NumConst=53, SV=48, CEps=1.2638, QPEps=0.5768)
Iter 54: *(NumConst=54, SV=49, CEps=0.9968, QPEps=0.3642)
Iter 55: *(NumConst=55, SV=50, CEps=1.1088, QPEps=0.3190)
Iter 56: *(NumConst=56, SV=51, CEps=0.7346, QPEps=0.2706)
Iter 57: *(NumConst=56, SV=52, CEps=0.5779, QPEps=0.2726)
Iter 58: *(NumConst=57, SV=53, CEps=0.4017, QPEps=0.1889)
Iter 59: *(NumConst=58, SV=54, CEps=0.4189, QPEps=0.1885)
Iter 60: *(NumConst=59, SV=55, CEps=0.4840, QPEps=0.1938)
Iter 61: *(NumConst=60, SV=56, CEps=0.4405, QPEps=0.1730)
Iter 62: .........*(NumConst=60, SV=57, CEps=1.3603, QPEps=0.5836)
Iter 63: *(NumConst=61, SV=58, CEps=0.9158, QPEps=0.3672)
Iter 64: *(NumConst=62, SV=59, CEps=0.7767, QPEps=0.3714)
Iter 65: *(NumConst=62, SV=60, CEps=0.6867, QPEps=0.3275)
Iter 66: *(NumConst=63, SV=61, CEps=0.6114, QPEps=0.2264)
Iter 67: *(NumConst=64, SV=62, CEps=0.4623, QPEps=0.2183)
Iter 68: *(NumConst=65, SV=62, CEps=0.4390, QPEps=0.1876)
Iter 69: *(NumConst=66, SV=63, CEps=0.3476, QPEps=0.1705)
Iter 70: *(NumConst=67, SV=64, CEps=0.2781, QPEps=0.1297)
Iter 71: *(NumConst=67, SV=65, CEps=0.3431, QPEps=0.1327)
Iter 72: *(NumConst=68, SV=66, CEps=0.3283, QPEps=0.1172)
Iter 73: *(NumConst=69, SV=67, CEps=0.2889, QPEps=0.1362)
Iter 74: *(NumConst=70, SV=68, CEps=0.2832, QPEps=0.1299)
Iter 75: *(NumConst=71, SV=69, CEps=0.2655, QPEps=0.1240)
Iter 76: *(NumConst=72, SV=71, CEps=0.2295, QPEps=0.1123)
Iter 77: *(NumConst=73, SV=72, CEps=0.1560, QPEps=0.0704)
Iter 78: *(NumConst=74, SV=73, CEps=0.2140, QPEps=0.0614)
Iter 79: *(NumConst=75, SV=74, CEps=0.2270, QPEps=0.0667)
Iter 80: *(NumConst=76, SV=75, CEps=0.2184, QPEps=0.0666)
Iter 81: *(NumConst=77, SV=76, CEps=0.1593, QPEps=0.0772)
Iter 82: *(NumConst=78, SV=77, CEps=0.1439, QPEps=0.0596)
Iter 83: *(NumConst=79, SV=78, CEps=0.1383, QPEps=0.0685)
Iter 84: *(NumConst=80, SV=79, CEps=0.1648, QPEps=0.0655)
Iter 85: .........*(NumConst=81, SV=80, CEps=0.9213, QPEps=0.4161)
Iter 86: *(NumConst=82, SV=80, CEps=0.6643, QPEps=0.2560)
Iter 87: *(NumConst=83, SV=81, CEps=0.5045, QPEps=0.1640)
Iter 88: *(NumConst=84, SV=81, CEps=0.4529, QPEps=0.1900)
Iter 89: *(NumConst=85, SV=82, CEps=0.3456, QPEps=0.1559)
Iter 90: *(NumConst=86, SV=83, CEps=0.3429, QPEps=0.1694)
Iter 91: *(NumConst=87, SV=84, CEps=0.2313, QPEps=0.1086)
Iter 92: *(NumConst=88, SV=85, CEps=0.3502, QPEps=0.1035)
Iter 93: *(NumConst=89, SV=86, CEps=0.2986, QPEps=0.1054)
