Reading training examples... (65 examples) done
Training set properties: 2403 features, 8 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=21.0727, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=11.9986, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=101.2603, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=23.5950, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=6, CEps=16.8887, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=6, CEps=41.9874, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=24.5959, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=13.5885, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=11.7075, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=9.2379, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=5.3018, QPEps=0.0745)
Iter 13: .........*(NumConst=13, SV=12, CEps=22.9390, QPEps=0.3527)
Iter 14: *(NumConst=14, SV=13, CEps=12.0662, QPEps=0.4005)
Iter 15: *(NumConst=15, SV=14, CEps=7.4660, QPEps=1.2724)
Iter 16: *(NumConst=16, SV=15, CEps=6.7457, QPEps=1.6427)
Iter 17: *(NumConst=17, SV=15, CEps=4.9755, QPEps=1.5341)
Iter 18: *(NumConst=18, SV=16, CEps=3.8357, QPEps=0.4170)
Iter 19: .........*(NumConst=19, SV=17, CEps=10.4144, QPEps=0.7926)
Iter 20: *(NumConst=20, SV=17, CEps=6.6704, QPEps=1.5108)
Iter 21: *(NumConst=21, SV=18, CEps=5.3069, QPEps=1.6809)
Iter 22: *(NumConst=22, SV=19, CEps=4.4746, QPEps=0.8221)
Iter 23: *(NumConst=23, SV=20, CEps=3.9362, QPEps=1.4967)
Iter 24: *(NumConst=24, SV=21, CEps=3.0591, QPEps=1.2027)
Iter 25: *(NumConst=25, SV=22, CEps=2.0802, QPEps=0.7549)
Iter 26: *(NumConst=26, SV=23, CEps=2.3953, QPEps=0.5730)
Iter 27: *(NumConst=27, SV=24, CEps=2.6081, QPEps=0.9854)
Iter 28: *(NumConst=28, SV=24, CEps=2.2348, QPEps=0.6921)
Iter 29: *(NumConst=29, SV=25, CEps=1.6740, QPEps=0.7941)
Iter 30: *(NumConst=30, SV=26, CEps=1.4365, QPEps=0.5945)
Iter 31: *(NumConst=31, SV=27, CEps=1.5069, QPEps=0.6175)
Iter 32: .........*(NumConst=32, SV=28, CEps=5.3314, QPEps=1.9369)
Iter 33: *(NumConst=33, SV=29, CEps=3.0504, QPEps=1.0582)
Iter 34: *(NumConst=34, SV=30, CEps=2.6644, QPEps=0.9768)
Iter 35: *(NumConst=35, SV=31, CEps=2.2962, QPEps=0.8911)
Iter 36: *(NumConst=36, SV=32, CEps=1.8847, QPEps=0.8697)
Iter 37: *(NumConst=37, SV=33, CEps=1.7217, QPEps=0.7810)
Iter 38: *(NumConst=38, SV=34, CEps=1.7168, QPEps=0.7015)
Iter 39: *(NumConst=39, SV=35, CEps=1.3387, QPEps=0.5078)
Iter 40: *(NumConst=40, SV=36, CEps=1.0882, QPEps=0.4829)
Iter 41: *(NumConst=41, SV=37, CEps=1.0768, QPEps=0.4500)
Iter 42: *(NumConst=42, SV=38, CEps=1.2047, QPEps=0.3835)
Iter 43: *(NumConst=43, SV=39, CEps=0.7043, QPEps=0.3278)
Iter 44: *(NumConst=44, SV=40, CEps=0.7633, QPEps=0.3311)
Iter 45: *(NumConst=45, SV=41, CEps=0.7031, QPEps=0.3333)
Iter 46: *(NumConst=46, SV=41, CEps=0.7582, QPEps=0.3264)
Iter 47: *(NumConst=47, SV=42, CEps=0.6547, QPEps=0.2697)
Iter 48: .........*(NumConst=48, SV=43, CEps=3.7308, QPEps=1.2690)
Iter 49: *(NumConst=49, SV=44, CEps=2.1860, QPEps=0.8768)
Iter 50: *(NumConst=50, SV=45, CEps=2.0219, QPEps=0.8041)
Iter 51: *(NumConst=51, SV=46, CEps=1.6955, QPEps=0.6398)
Iter 52: *(NumConst=52, SV=47, CEps=1.2100, QPEps=0.5128)
Iter 53: *(NumConst=53, SV=47, CEps=1.0986, QPEps=0.5450)
Iter 54: *(NumConst=54, SV=48, CEps=0.9462, QPEps=0.2269)
Iter 55: *(NumConst=55, SV=49, CEps=0.7984, QPEps=0.3663)
Iter 56: *(NumConst=55, SV=50, CEps=0.6983, QPEps=0.2932)
Iter 57: *(NumConst=56, SV=51, CEps=0.5978, QPEps=0.2086)
Iter 58: *(NumConst=57, SV=52, CEps=0.7110, QPEps=0.2395)
Iter 59: *(NumConst=58, SV=53, CEps=0.5600, QPEps=0.2447)
Iter 60: *(NumConst=59, SV=54, CEps=0.4595, QPEps=0.2005)
Iter 61: *(NumConst=60, SV=55, CEps=0.3810, QPEps=0.1805)
Iter 62: *(NumConst=61, SV=56, CEps=0.4156, QPEps=0.1720)
Iter 63: *(NumConst=62, SV=57, CEps=0.4430, QPEps=0.1735)
Iter 64: .........*(NumConst=63, SV=58, CEps=1.6875, QPEps=0.5764)
Iter 65: *(NumConst=64, SV=59, CEps=1.0990, QPEps=0.3376)
Iter 66: *(NumConst=64, SV=60, CEps=1.0075, QPEps=0.3886)
Iter 67: *(NumConst=65, SV=60, CEps=0.6875, QPEps=0.3043)
Iter 68: *(NumConst=66, SV=61, CEps=0.5335, QPEps=0.2407)
Iter 69: *(NumConst=66, SV=62, CEps=0.5513, QPEps=0.2600)
Iter 70: *(NumConst=67, SV=62, CEps=0.6238, QPEps=0.1557)
Iter 71: *(NumConst=68, SV=63, CEps=0.5212, QPEps=0.2333)
Iter 72: *(NumConst=69, SV=64, CEps=0.3774, QPEps=0.1412)
Iter 73: *(NumConst=70, SV=65, CEps=0.4856, QPEps=0.1868)
Iter 74: *(NumConst=71, SV=65, CEps=0.4410, QPEps=0.1783)
Iter 75: *(NumConst=72, SV=66, CEps=0.3335, QPEps=0.1366)
Iter 76: *(NumConst=73, SV=67, CEps=0.3129, QPEps=0.1435)
Iter 77: *(NumConst=73, SV=68, CEps=0.2418, QPEps=0.0846)
Iter 78: *(NumConst=74, SV=69, CEps=0.3063, QPEps=0.0998)
Iter 79: *(NumConst=75, SV=70, CEps=0.2552, QPEps=0.1093)
Iter 80: *(NumConst=76, SV=71, CEps=0.2071, QPEps=0.0894)
Iter 81: *(NumConst=77, SV=72, CEps=0.2477, QPEps=0.0953)
Iter 82: .........*(NumConst=78, SV=73, CEps=0.9222, QPEps=0.2689)
Iter 83: *(NumConst=79, SV=74, CEps=0.5685, QPEps=0.2639)
Iter 84: *(NumConst=80, SV=75, CEps=0.4945, QPEps=0.1962)
Iter 85: *(NumConst=81, SV=76, CEps=0.4237, QPEps=0.1834)
Iter 86: *(NumConst=82, SV=77, CEps=0.3448, QPEps=0.1711)
Iter 87: *(NumConst=83, SV=78, CEps=0.3378, QPEps=0.1488)
Iter 88: *(NumConst=84, SV=79, CEps=0.2926, QPEps=0.1060)
Iter 89: *(NumConst=85, SV=80, CEps=0.2936, QPEps=0.1270)
Iter 90: *(NumConst=86, SV=81, CEps=0.2372, QPEps=0.1084)
Iter 91: *(NumConst=87, SV=82, CEps=0.2888, QPEps=0.1019)
Iter 92: *(NumConst=88, SV=83, CEps=0.2017, QPEps=0.0987)
Iter 93: *(NumConst=89, SV=84, CEps=0.2515, QPEps=0.0983)
Iter 94: *(NumConst=90, SV=84, CEps=0.2502, QPEps=0.0980)
Iter 95: *(NumConst=90, SV=85, CEps=0.2110, QPEps=0.0933)
Iter 96: *(NumConst=91, SV=86, CEps=0.1831, QPEps=0.0855)
Iter 97: *(NumConst=92, SV=86, CEps=0.1678, QPEps=0.0734)
Iter 98: *(NumConst=93, SV=87, CEps=0.1256, QPEps=0.0612)
Iter 99: *(NumConst=94, SV=88, CEps=0.1298, QPEps=0.0600)
Iter 100: *(NumConst=95, SV=89, CEps=0.1169, QPEps=0.0490)
