Reading training examples... (65 examples) done
Training set properties: 2397 features, 8 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=17.9297, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=21.1138, QPEps=0.0000)
Iter 4: *(NumConst=4, SV=4, CEps=12.6187, QPEps=0.0000)
Iter 5: .........*(NumConst=5, SV=5, CEps=108.2017, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=6, CEps=35.7783, QPEps=0.0000)
Iter 7: *(NumConst=7, SV=7, CEps=15.8394, QPEps=0.0000)
Iter 8: .........*(NumConst=8, SV=8, CEps=50.4157, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=9, CEps=26.7420, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=10, CEps=17.3679, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=15.2524, QPEps=1.4087)
Iter 12: *(NumConst=12, SV=11, CEps=6.5385, QPEps=0.9602)
Iter 13: .........*(NumConst=13, SV=12, CEps=25.6622, QPEps=1.5832)
Iter 14: *(NumConst=14, SV=13, CEps=11.2136, QPEps=2.6083)
Iter 15: *(NumConst=15, SV=13, CEps=9.0711, QPEps=2.6866)
Iter 16: *(NumConst=16, SV=14, CEps=6.1996, QPEps=3.0911)
Iter 17: *(NumConst=17, SV=15, CEps=4.7884, QPEps=2.3401)
Iter 18: *(NumConst=18, SV=15, CEps=3.7463, QPEps=0.7620)
Iter 19: *(NumConst=19, SV=16, CEps=2.6023, QPEps=1.0778)
Iter 20: .........*(NumConst=20, SV=17, CEps=9.6912, QPEps=1.4360)
Iter 21: *(NumConst=21, SV=18, CEps=5.3515, QPEps=1.6374)
Iter 22: *(NumConst=22, SV=19, CEps=4.7018, QPEps=0.7036)
Iter 23: *(NumConst=23, SV=20, CEps=4.2453, QPEps=2.0321)
Iter 24: *(NumConst=24, SV=20, CEps=2.6268, QPEps=1.1973)
Iter 25: *(NumConst=25, SV=21, CEps=2.0593, QPEps=0.8424)
Iter 26: *(NumConst=26, SV=22, CEps=1.7124, QPEps=0.7031)
Iter 27: *(NumConst=27, SV=22, CEps=2.0190, QPEps=0.7377)
Iter 28: *(NumConst=28, SV=23, CEps=1.3925, QPEps=0.4858)
Iter 29: *(NumConst=29, SV=25, CEps=1.4501, QPEps=0.5640)
Iter 30: .........*(NumConst=30, SV=26, CEps=5.4342, QPEps=1.0328)
Iter 31: *(NumConst=31, SV=26, CEps=2.4628, QPEps=1.1789)
Iter 32: *(NumConst=32, SV=27, CEps=1.9946, QPEps=0.7462)
Iter 33: *(NumConst=33, SV=28, CEps=2.3242, QPEps=0.9021)
Iter 34: *(NumConst=34, SV=29, CEps=1.6400, QPEps=0.7690)
Iter 35: *(NumConst=35, SV=30, CEps=1.2894, QPEps=0.6216)
Iter 36: *(NumConst=36, SV=31, CEps=1.3602, QPEps=0.5867)
Iter 37: *(NumConst=37, SV=32, CEps=1.3428, QPEps=0.5540)
Iter 38: *(NumConst=38, SV=33, CEps=0.7122, QPEps=0.3350)
Iter 39: *(NumConst=39, SV=34, CEps=1.1312, QPEps=0.3399)
Iter 40: *(NumConst=40, SV=34, CEps=0.9596, QPEps=0.3552)
Iter 41: .........*(NumConst=41, SV=35, CEps=2.3508, QPEps=1.0401)
Iter 42: *(NumConst=42, SV=35, CEps=1.7596, QPEps=0.7111)
Iter 43: *(NumConst=43, SV=36, CEps=1.5161, QPEps=0.6463)
Iter 44: *(NumConst=44, SV=37, CEps=1.2179, QPEps=0.5906)
Iter 45: *(NumConst=45, SV=38, CEps=0.8849, QPEps=0.4309)
Iter 46: *(NumConst=46, SV=39, CEps=0.8750, QPEps=0.3898)
Iter 47: *(NumConst=47, SV=40, CEps=0.5909, QPEps=0.2610)
Iter 48: *(NumConst=48, SV=41, CEps=0.8141, QPEps=0.2489)
Iter 49: *(NumConst=49, SV=42, CEps=0.6666, QPEps=0.2629)
Iter 50: *(NumConst=50, SV=43, CEps=0.6314, QPEps=0.2627)
Iter 51: *(NumConst=51, SV=44, CEps=0.5229, QPEps=0.2537)
Iter 52: *(NumConst=52, SV=45, CEps=0.7021, QPEps=0.2226)
Iter 53: *(NumConst=53, SV=46, CEps=0.6133, QPEps=0.2523)
Iter 54: *(NumConst=54, SV=47, CEps=0.4408, QPEps=0.1910)
Iter 55: *(NumConst=55, SV=48, CEps=0.4422, QPEps=0.2162)
Iter 56: *(NumConst=56, SV=49, CEps=0.3561, QPEps=0.1749)
Iter 57: *(NumConst=57, SV=50, CEps=0.3699, QPEps=0.1644)
Iter 58: *(NumConst=58, SV=51, CEps=0.3488, QPEps=0.1681)
Iter 59: *(NumConst=59, SV=52, CEps=0.3499, QPEps=0.1660)
Iter 60: *(NumConst=59, SV=53, CEps=0.3071, QPEps=0.1402)
Iter 61: *(NumConst=60, SV=54, CEps=0.3082, QPEps=0.1256)
Iter 62: *(NumConst=61, SV=55, CEps=0.3100, QPEps=0.1156)
Iter 63: *(NumConst=62, SV=56, CEps=0.2806, QPEps=0.1170)
Iter 64: .........*(NumConst=62, SV=57, CEps=1.1652, QPEps=0.4505)
Iter 65: *(NumConst=63, SV=58, CEps=0.6789, QPEps=0.2582)
Iter 66: *(NumConst=64, SV=59, CEps=0.6971, QPEps=0.3341)
Iter 67: *(NumConst=64, SV=60, CEps=0.4604, QPEps=0.2142)
Iter 68: *(NumConst=65, SV=61, CEps=0.4970, QPEps=0.2018)
Iter 69: *(NumConst=66, SV=62, CEps=0.5635, QPEps=0.2187)
Iter 70: *(NumConst=67, SV=63, CEps=0.2801, QPEps=0.1392)
Iter 71: *(NumConst=68, SV=64, CEps=0.2743, QPEps=0.1241)
Iter 72: *(NumConst=69, SV=65, CEps=0.3014, QPEps=0.1268)
Iter 73: *(NumConst=70, SV=66, CEps=0.2209, QPEps=0.1011)
Iter 74: *(NumConst=71, SV=67, CEps=0.2096, QPEps=0.0976)
Iter 75: *(NumConst=72, SV=69, CEps=0.1319, QPEps=0.0639)
Iter 76: *(NumConst=72, SV=70, CEps=0.1908, QPEps=0.0629)
Iter 77: *(NumConst=73, SV=71, CEps=0.1775, QPEps=0.0612)
Iter 78: *(NumConst=74, SV=72, CEps=0.1983, QPEps=0.0631)
Iter 79: *(NumConst=75, SV=73, CEps=0.1280, QPEps=0.0626)
Iter 80: .........*(NumConst=75, SV=74, CEps=0.7998, QPEps=0.3479)
Iter 81: *(NumConst=76, SV=75, CEps=0.5549, QPEps=0.2637)
Iter 82: *(NumConst=77, SV=76, CEps=0.5076, QPEps=0.2436)
Iter 83: *(NumConst=78, SV=77, CEps=0.3970, QPEps=0.1660)
Iter 84: *(NumConst=79, SV=78, CEps=0.3387, QPEps=0.1675)
Iter 85: *(NumConst=80, SV=79, CEps=0.3178, QPEps=0.1510)
Iter 86: *(NumConst=81, SV=80, CEps=0.2876, QPEps=0.1304)
Iter 87: *(NumConst=82, SV=81, CEps=0.2386, QPEps=0.1135)
Iter 88: *(NumConst=83, SV=82, CEps=0.2201, QPEps=0.0955)
Iter 89: *(NumConst=83, SV=83, CEps=0.2320, QPEps=0.1056)
Iter 90: *(NumConst=84, SV=84, CEps=0.2042, QPEps=0.0957)
Iter 91: *(NumConst=85, SV=85, CEps=0.1356, QPEps=0.0658)
Iter 92: *(NumConst=86, SV=86, CEps=0.1991, QPEps=0.0657)
Iter 93: *(NumConst=87, SV=87, CEps=0.1980, QPEps=0.0622)
Iter 94: *(NumConst=88, SV=88, CEps=0.1098, QPEps=0.0526)
Iter 95: *(NumConst=89, SV=89, CEps=0.1515, QPEps=0.0529)
Iter 96: *(NumConst=90, SV=90, CEps=0.1349, QPEps=0.0504)
Iter 97: *(NumConst=91, SV=91, CEps=0.1170, QPEps=0.0492)
Iter 98: *(NumConst=92, SV=92, CEps=0.1163, QPEps=0.0534)
Iter 99: .........*(NumConst=93, SV=93, CEps=0.4216, QPEps=0.1882)
Iter 100: *(NumConst=94, SV=94, CEps=0.2884, QPEps=0.1391)
Iter 101: *(NumConst=95, SV=95, CEps=0.2580, QPEps=0.1191)
Iter 102: *(NumConst=96, SV=96, CEps=0.2387, QPEps=0.1098)
Iter 103: *(NumConst=97, SV=97, CEps=0.2091, QPEps=0.0899)
Iter 104: *(NumConst=98, SV=98, CEps=0.1853, QPEps=0.0828)
Iter 105: *(NumConst=99, SV=99, CEps=0.1564, QPEps=0.0695)
Iter 106: *(NumConst=100, SV=100, CEps=0.1216, QPEps=0.0543)
Iter 107: *(NumConst=101, SV=101, CEps=0.1453, QPEps=0.0597)
Iter 108: *(NumConst=102, SV=102, CEps=0.1241, QPEps=0.0600)
Iter 109: *(NumConst=103, SV=103, CEps=0.1096, QPEps=0.0532)
Iter 110: .........*(NumConst=104, SV=104, CEps=0.2063, QPEps=0.1021)
Iter 111: *(NumConst=105, SV=105, CEps=0.1675, QPEps=0.0770)
Iter 112: *(NumConst=106, SV=106, CEps=0.1066, QPEps=0.0386)
Iter 113: *(NumConst=107, SV=107, CEps=0.1065, QPEps=0.0522)
