Reading training examples...'3' in LINE: 5 1:1 2:1 3
Reading training examples... (65 examples) done
Training set properties: 2388 features, 8 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=32.7378, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=16.2252, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=88.9443, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=5, CEps=19.6996, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=15.6837, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=6, CEps=53.7062, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=19.0316, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=12.8124, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=7.0234, QPEps=0.0000)
Iter 11: .........*(NumConst=11, SV=10, CEps=26.2010, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=13.7396, QPEps=0.7879)
Iter 13: *(NumConst=13, SV=12, CEps=12.7296, QPEps=1.5887)
Iter 14: *(NumConst=14, SV=13, CEps=8.8720, QPEps=3.8199)
Iter 15: *(NumConst=15, SV=14, CEps=6.6656, QPEps=2.4489)
Iter 16: *(NumConst=16, SV=13, CEps=5.2543, QPEps=0.7169)
Iter 17: .........*(NumConst=17, SV=14, CEps=12.9579, QPEps=1.3851)
Iter 18: *(NumConst=18, SV=15, CEps=7.7381, QPEps=2.6189)
Iter 19: *(NumConst=19, SV=16, CEps=5.1522, QPEps=1.8060)
Iter 20: *(NumConst=20, SV=17, CEps=5.0575, QPEps=1.6132)
Iter 21: *(NumConst=21, SV=17, CEps=3.4757, QPEps=1.0056)
Iter 22: *(NumConst=22, SV=18, CEps=2.5977, QPEps=0.5272)
Iter 23: *(NumConst=23, SV=19, CEps=3.2469, QPEps=0.4332)
Iter 24: *(NumConst=24, SV=20, CEps=2.7209, QPEps=0.5499)
Iter 25: *(NumConst=25, SV=21, CEps=1.8966, QPEps=0.7314)
Iter 26: *(NumConst=26, SV=22, CEps=1.3346, QPEps=0.6266)
Iter 27: .........*(NumConst=27, SV=22, CEps=6.6821, QPEps=1.1391)
Iter 28: *(NumConst=28, SV=23, CEps=3.3672, QPEps=0.9975)
Iter 29: *(NumConst=29, SV=24, CEps=3.5231, QPEps=1.3783)
Iter 30: *(NumConst=30, SV=25, CEps=2.5630, QPEps=1.1251)
Iter 31: *(NumConst=31, SV=26, CEps=2.9197, QPEps=1.2438)
Iter 32: *(NumConst=32, SV=27, CEps=2.0827, QPEps=0.8124)
Iter 33: *(NumConst=33, SV=28, CEps=1.4735, QPEps=0.5357)
Iter 34: *(NumConst=34, SV=29, CEps=1.6424, QPEps=0.7009)
Iter 35: *(NumConst=35, SV=30, CEps=1.5106, QPEps=0.7276)
Iter 36: *(NumConst=36, SV=31, CEps=1.1389, QPEps=0.4872)
Iter 37: *(NumConst=37, SV=32, CEps=1.2490, QPEps=0.5362)
Iter 38: .........*(NumConst=38, SV=33, CEps=3.7282, QPEps=1.2461)
Iter 39: *(NumConst=39, SV=34, CEps=2.7426, QPEps=1.2795)
Iter 40: *(NumConst=40, SV=35, CEps=2.1440, QPEps=0.6960)
Iter 41: *(NumConst=41, SV=36, CEps=1.7979, QPEps=0.7836)
Iter 42: *(NumConst=42, SV=37, CEps=1.4900, QPEps=0.5365)
Iter 43: *(NumConst=43, SV=38, CEps=1.2076, QPEps=0.5291)
Iter 44: *(NumConst=44, SV=39, CEps=1.3111, QPEps=0.5273)
