ID,TITLE  BODY,CLASS
20150821010227AAgVlrP,Was The Whore of Babylon the one who spread lies in order to pit people against each other or what not?  ,Web y Archivada
20150913182516AA5Ov3y,What do you do when ur in jail in monopoly?  ,Web y Archivada
20150921060302AA2k9Tq,Has suspected terrorist Joshua Goldberg ever been to Israel?  Goldberg  a 20-year-old Florida man living with his parents  was arrested last week for plotting online to bomb a 9/11 memorial in Kansas City. Goldberg became very adept at creating various online personae  setting them up against each other  and getting people to take sides. He set Jews and Muslims against each other. http://dailycaller.com/2015/09/14/joshua-goldberg-worst-troll-ever/,Web y Archivada
20151001191846AAAtgFl,When did people realize that global warming was happening?  ,Web y Archivada
20151010210352AAia2Xf,Can pillow lava be touched?  ,Web y Archivada
20151104154926AAQNzx9,How do I change my password?  ,Web y Archivada
20151106120707AAQ87YK,Define Country.?  Yeah  I meant the political entity.,Web y Archivada
20151108010914AAcFwnk,What makes a 5-Star Restaurant a 5-Star Restaurant?  ,Web y Archivada
20151101193926AAzjV8R,How does Haagen Dazs make their coffee frappes?  ,Web
20140212162552AAEcUyf,What dies it mean to dream of a dead person that knows in the dream they are dying?  It is always soneone close. Usually only One dream like that and it always varies in nature for example. When my aunt died I dreamed she rose up from her coffin and was walking around outside the funeral home talking to ppl knowing she had to die Another was my dad wanting breakfast made and knowing also of pending death and tellin me my brother never said he loved him there also is never a time frame as to when it happens could be right away or months or a year,Particulares
20150710074446AAWWSpZ,Did oil companies kill the electric car?  Does Elon Musk know about this?,Particulares
20150802184944AAAk2Z8,Could someone call General Motors and pay them to make you a new H2 Hummer?  ,Particulares
20150907094859AAXaH0b,I am an international student and I am going to finish my 12th i want to do UG in USA and any university offer UG?  ,Particulares
20150921094551AAYjT5v,If the Principal in Texas thought the clock was a bomb why didn't he evacuate the school?  And why did the cops but it in their backseat?,Particulares
20150924145223AAgfhHK,Why did the media only show images of Trayvon Martin as a 12 year old?  instead of using more recent pictures before his death. Why did the media fabricate Zimmerman's audio when he was talking to the dispatcher? Why did the media avoid using showing close up of Zimmerman's injuries. Also why did the media only show pictures that made Zimmerman look shady and used his mugshot. Zimmerman shot Trayvon in self-defense.,Particulares
20150925054925AA2qmsh,What are the advantages of Marble flooring as compared with Laminate flooring?  ,Particulares
20150925081241AAaorZC,Am I northern?  Hi  this may sound quite pathetic. Although  I was born in Leeds and grew up there until I was 6  then I moved to Stafford  I am currently 15 and I was talking to my friends today at school and I can't remember what I said  but my best friend said I wasn't really northern. I am quite proud of the fact I come from Leeds  and although I moved away  all my family still live in Leeds and Yorkshire. Do I not class as being Northern then even though I was born and partly raised there? What do you think? Thanks,Particulares
20150927004923AAiS4G0,What does it mean if your thoughts always end up in circular reasoning?  e.g. impossible <=> psychotic <=> evil <=> soulless <=? impossible,Particulares
20150930194255AAHQHA5,Oily Skin Help?  I have had very oily skin for about over a year now  and it's really getting to me. And when I say very oil  I mean VERY oily. It only takes about 30-45 minutes for oil to appear. I've tried literally everything  oil free cleansers  moisturizers  blotting sheets  oil free makeup  powder  home remedies  everything you could think of. Please help?,Particulares
20151001204038AAw09o6,My armpits still stink?  I have washed my body with soap 4 times already and my armpits still stink and I don't know why and how to stop it even when I put deodorant on it just smells like flowers and a dead body it does not mask it at all please help me I don't know what to do,Particulares
20151002091802AALZxfU,Why are my pitbulls fighting?  So u have two female pitbulls  a blue nose  and I believe a red nose mix. One is the red nose is spayed and the blue nose is not. The blue nose is 2 and a half years old and the red nose is about a year and a half. They seem to get a long most of the time but lately they have been fighting. I try to show them equally amount of love so one of them doesn't feel left out but they still seem to fight every so often. What do you think could be the reason for this? So you think they could potentially hurt each other. Fortunately I have been able to stop them and they haven't been seriously injured.,Particulares
20151006134353AAUfIKV,Anyone know of Disneyland discount tickets?  I m planning on taking my children to Disneyland for their birthday in a couple of weeks i live in a different state & I m looking for Disneyland tickets for a one day pass does anyone know of any place I can purchase them for a cheaper price?,Particulares
20151007132503AASi3SY,"How do you win at the board game Monopoly?  I've been playing Monopoly for years (I'm 30 years old) and usually I play with 2 or more people. All the years that I've been playing the game  we play until every property is bought (to avoid hours and hours of playing every time you land on someone's property to collect money) and after that  we see who has the most money. There has been times where one of us has gone bankrupt and they are out of the game. We usually have a "house rule" For example  if you land on "Free Parking" you win money like $100 or maybe $300. I wanna know if I've been playing the game correctly and if you have any suggestions on how I should be playing the game?""ow do you win at the board game Monopoly?  I've been playing Monopoly for years (I'm 30 years old) and usually I play with 2 or more people. All the years that I've been playing the game  we play until every propert",Particulares
20151015200544AADEV8l,Are there motels with hidden camera in the rooms.?  ,Particulares
20151019180753AALnJyf,What do i do!?! :(?  I switched schools in september and i was so upset and i wanted to switch back to my old school. Now  my dad switched me back to my old school and I m with my friends and all  but i have to catch up on all the hard work and the other school was so easy. It would be weird if i switched back to the other school and i just don t know what to do. HELP!!?,Particulares
20151020163932AAxmvWE,I am getting my wisdom teeth out soon (age 12) and I am a little scared because I watched a video of the procedure.?  Does it hurt when after you get them out. They will be putting me asleep but I am still scared. Do the stitches come out by themselves or do they have to manually take them out? Thanks  as you can tell by all of the wording  I am very nervous.,Particulares
20151021065747AAPcpPu,"Can you tell how good a fighter someone is just by looking at them?  if so what sort of things would you look for? I'm guessing things like their muscle tone and how steady they are on their feet? You know when 2 guys are having a confrontation and they "look each other up and down"  what sort of things are they specifically looking for? If you aren't a good fighter anyway you could "bluff" whoever is looking you up and down by standing a certain way or whatever? Would puffing your chest out make you look like someone not to mess with or would that just make you look silly? (for the record I have no interest in starting a fight  just for interest)""an you tell how good a fighter someone is just by looking at them?  if so what sort of things would you look for? I'm guessing things like their muscle tone and how steady they are on their feet? You know when 2 guys are having a confrontation and they "look each other up and down"  what sort of things are they specifically looking for? If you aren't a good fighter anyway you could "bluff" whoever""n you tell how good a fighter someone is just by looking at them?  if so what sort of things would you look for? I'm guessing things like their mu",Particulares
